timestamp,intersection_id,intersection_name,latitude,longitude,vehicle_count,avg_speed_kmh,density,num_lanes,traffic_state,hour
2026-02-07T03:47:17.443585,1,Avenue Charles de Gaulle - Rue 42-044,18.0735,-15.9582,10,47.22,5.0,2,Fluide,3
2026-02-07T03:47:17.443585,2,Avenue Gamal Abdel Nasser - Rue Mamadou Konaté,18.0865,-15.975,9,23.04,4.5,2,Dense,3
2026-02-07T03:47:17.443585,3,Route de Rosso - Avenue Kennedy,18.0912,-15.9623,12,67.51,6.0,2,Fluide,3
2026-02-07T03:47:17.443585,4,Avenue de l'Indépendance - Rue 42-252,18.0795,-15.9685,0,36.75,0.0,2,Dense,3
2026-02-07T03:47:17.443585,5,Carrefour Madrid - Tevragh Zeina,18.1012,-15.9456,9,52.52,4.5,2,Fluide,3
2026-02-07T03:47:17.443585,6,Route de l'Espoir - Entrée Ksar,18.0654,-15.9812,10,47.2,5.0,2,Fluide,3
2026-02-07T03:47:17.443585,7,Avenue Moktar Ould Daddah - Marché Capitale,18.0823,-15.9734,2,40.71,1.0,2,Fluide,3
2026-02-07T03:47:17.443585,8,Ilot C - Carrefour Mosquée Saoudienne,18.1123,-15.9523,10,36.02,5.0,2,Dense,3
2026-02-07T03:47:17.443585,9,Route Nouadhibou - Sortie Nord,18.1234,-15.9645,3,34.15,1.5,2,Dense,3
2026-02-07T03:47:17.443585,10,Carrefour PK7 - Route de Boutilimit,18.0512,-15.9923,6,55.14,3.0,2,Fluide,3
2026-02-07T03:47:22.443585,1,Avenue Charles de Gaulle - Rue 42-044,18.0735,-15.9582,5,45.47,2.5,2,Fluide,3
2026-02-07T03:47:22.443585,2,Avenue Gamal Abdel Nasser - Rue Mamadou Konaté,18.0865,-15.975,6,36.13,3.0,2,Dense,3
2026-02-07T03:47:22.443585,3,Route de Rosso - Avenue Kennedy,18.0912,-15.9623,12,25.39,6.0,2,Dense,3
2026-02-07T03:47:22.443585,4,Avenue de l'Indépendance - Rue 42-252,18.0795,-15.9685,7,59.34,3.5,2,Fluide,3
2026-02-07T03:47:22.443585,5,Carrefour Madrid - Tevragh Zeina,18.1012,-15.9456,2,56.42,1.0,2,Fluide,3
2026-02-07T03:47:22.443585,6,Route de l'Espoir - Entrée Ksar,18.0654,-15.9812,12,45.17,6.0,2,Fluide,3
2026-02-07T03:47:22.443585,7,Avenue Moktar Ould Daddah - Marché Capitale,18.0823,-15.9734,10,54.61,5.0,2,Fluide,3
2026-02-07T03:47:22.443585,8,Ilot C - Carrefour Mosquée Saoudienne,18.1123,-15.9523,0,48.49,0.0,2,Fluide,3
2026-02-07T03:47:22.443585,9,Route Nouadhibou - Sortie Nord,18.1234,-15.9645,3,58.77,1.5,2,Fluide,3
